,Month,Price
0,1997-01,3.45
1,1997-02,2.15
2,1997-03,1.89
3,1997-04,2.03
4,1997-05,2.25
5,1997-06,2.2
6,1997-07,2.19
7,1997-08,2.49
8,1997-09,2.88
9,1997-10,3.07
10,1997-11,3.01
11,1997-12,2.35
12,1998-01,2.09
13,1998-02,2.23
14,1998-03,2.24
15,1998-04,2.43
16,1998-05,2.14
17,1998-06,2.17
18,1998-07,2.17
19,1998-08,1.85
20,1998-09,2.02
21,1998-10,1.91
22,1998-11,2.12
23,1998-12,1.72
24,1999-01,1.85
25,1999-02,1.77
26,1999-03,1.79
27,1999-04,2.15
28,1999-05,2.26
29,1999-06,2.3
30,1999-07,2.31
31,1999-08,2.8
32,1999-09,2.55
33,1999-10,2.73
34,1999-11,2.37
35,1999-12,2.36
36,2000-01,2.42
37,2000-02,2.66
38,2000-03,2.79
39,2000-04,3.04
40,2000-05,3.59
41,2000-06,4.29
42,2000-07,3.99
43,2000-08,4.43
44,2000-09,5.06
45,2000-10,5.02
46,2000-11,5.52
47,2000-12,8.9
48,2001-01,8.17
49,2001-02,5.61
50,2001-03,5.23
51,2001-04,5.19
52,2001-05,4.19
53,2001-06,3.72
54,2001-07,3.11
55,2001-08,2.97
56,2001-09,2.19
57,2001-10,2.46
58,2001-11,2.34
59,2001-12,2.3
60,2002-01,2.32
61,2002-02,2.32
62,2002-03,3.03
63,2002-04,3.43
64,2002-05,3.5
65,2002-06,3.26
66,2002-07,2.99
67,2002-08,3.09
68,2002-09,3.55
69,2002-10,4.13
70,2002-11,4.04
71,2002-12,4.74
72,2003-01,5.43
73,2003-02,7.71
74,2003-03,5.93
75,2003-04,5.26
76,2003-05,5.81
77,2003-06,5.82
78,2003-07,5.03
79,2003-08,4.99
80,2003-09,4.62
81,2003-10,4.63
82,2003-11,4.47
83,2003-12,6.13
84,2004-01,6.14
85,2004-02,5.37
86,2004-03,5.39
87,2004-04,5.71
88,2004-05,6.33
89,2004-06,6.27
90,2004-07,5.93
91,2004-08,5.41
92,2004-09,5.15
93,2004-10,6.35
94,2004-11,6.17
95,2004-12,6.58
96,2005-01,6.15
97,2005-02,6.14
98,2005-03,6.96
99,2005-04,7.16
100,2005-05,6.47
101,2005-06,7.18
102,2005-07,7.63
103,2005-08,9.53
104,2005-09,11.75
105,2005-10,13.42
106,2005-11,10.3
107,2005-12,13.05
108,2006-01,8.689999999999998
109,2006-02,7.54
110,2006-03,6.89
111,2006-04,7.16
112,2006-05,6.25
113,2006-06,6.21
114,2006-07,6.17
115,2006-08,7.14
116,2006-09,4.9
117,2006-10,5.85
118,2006-11,7.41
119,2006-12,6.73
120,2007-01,6.55
121,2007-02,8.0
122,2007-03,7.11
123,2007-04,7.599999999999999
124,2007-05,7.639999999999999
125,2007-06,7.349999999999999
126,2007-07,6.22
127,2007-08,6.22
128,2007-09,6.08
129,2007-10,6.74
130,2007-11,7.1
131,2007-12,7.11
132,2008-01,7.99
133,2008-02,8.54
134,2008-03,9.41
135,2008-04,10.18
136,2008-05,11.27
137,2008-06,12.69
138,2008-07,11.09
139,2008-08,8.259999999999998
140,2008-09,7.67
141,2008-10,6.74
142,2008-11,6.68
143,2008-12,5.82
144,2009-01,5.24
145,2009-02,4.52
146,2009-03,3.96
147,2009-04,3.5
148,2009-05,3.83
149,2009-06,3.8
150,2009-07,3.38
151,2009-08,3.14
152,2009-09,2.99
153,2009-10,4.01
154,2009-11,3.66
155,2009-12,5.35
156,2010-01,5.83
157,2010-02,5.32
158,2010-03,4.29
159,2010-04,4.03
160,2010-05,4.14
161,2010-06,4.8
162,2010-07,4.63
163,2010-08,4.32
164,2010-09,3.89
165,2010-10,3.43
166,2010-11,3.71
167,2010-12,4.25
168,2011-01,4.49
169,2011-02,4.09
170,2011-03,3.97
171,2011-04,4.24
172,2011-05,4.31
173,2011-06,4.54
174,2011-07,4.42
175,2011-08,4.06
176,2011-09,3.9
177,2011-10,3.57
178,2011-11,3.24
179,2011-12,3.17
180,2012-01,2.67
181,2012-02,2.51
182,2012-03,2.17
183,2012-04,1.95
184,2012-05,2.43
185,2012-06,2.46
186,2012-07,2.95
187,2012-08,2.84
188,2012-09,2.85
189,2012-10,3.32
190,2012-11,3.54
191,2012-12,3.34
192,2013-01,3.33
193,2013-02,3.33
194,2013-03,3.81
195,2013-04,4.17
196,2013-05,4.04
197,2013-06,3.83
198,2013-07,3.62
199,2013-08,3.43
200,2013-09,3.62
201,2013-10,3.68
202,2013-11,3.64
203,2013-12,4.24
204,2014-01,4.71
205,2014-02,6.0
206,2014-03,4.9
207,2014-04,4.66
208,2014-05,4.58
209,2014-06,4.59
210,2014-07,4.05
211,2014-08,3.91
212,2014-09,3.92
213,2014-10,3.78
214,2014-11,4.12
215,2014-12,3.48
216,2015-01,2.99
217,2015-02,2.87
218,2015-03,2.83
219,2015-04,2.61
220,2015-05,2.85
221,2015-06,2.78
222,2015-07,2.84
223,2015-08,2.77
224,2015-09,2.66
225,2015-10,2.34
226,2015-11,2.09
227,2015-12,1.93
228,2016-01,2.28
229,2016-02,1.99
230,2016-03,1.73
231,2016-04,1.92
232,2016-05,1.92
233,2016-06,2.59
234,2016-07,2.82
235,2016-08,2.82
236,2016-09,2.99
237,2016-10,2.98
238,2016-11,2.55
239,2016-12,3.59
240,2017-01,3.3
241,2017-02,2.85
242,2017-03,2.88
243,2017-04,3.1
244,2017-05,3.15
245,2017-06,2.98
246,2017-07,2.98
247,2017-08,2.9
248,2017-09,2.98
249,2017-10,2.88
250,2017-11,3.01
251,2017-12,2.82
252,2018-01,3.87
253,2018-02,2.67
254,2018-03,2.69
255,2018-04,2.8
256,2018-05,2.8
257,2018-06,2.97
258,2018-07,2.83
259,2018-08,2.96
260,2018-09,3.0
261,2018-10,3.28
262,2018-11,4.09
263,2018-12,4.04
264,2019-01,3.11
265,2019-02,2.69
266,2019-03,2.95
267,2019-04,2.65
268,2019-05,2.64
269,2019-06,2.4
270,2019-07,2.37
271,2019-08,2.22
272,2019-09,2.56
273,2019-10,2.33
274,2019-11,2.65
275,2019-12,2.22
276,2020-01,2.02
277,2020-02,1.91
278,2020-03,1.79
279,2020-04,1.74
280,2020-05,1.75
281,2020-06,1.63
282,2020-07,1.77
283,2020-08,2.3
